type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,title
white,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,Terre di Giurfo 2014 Belsito Frappato (Vittoria)
white,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,Feudo Arancio 2010 Stemmari Cabernet Sauvignon (Sicilia)
white,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,Bryn Mawr Vineyards 2016 Estate Riesling (Eola-Amity Hills)
white,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,Château le Prieuré 2010 Barrel sample  (Saint-Émilion)
white,7.2,0.23,0.32,8.5,0.058,47.0,186.0,0.9956,3.19,0.4,9.9,6,Brave & Maiden 2014 Estate Cabernet Sauvignon (Santa Ynez Valley)
white,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44,10.1,6,V. Sattui 2011 Riesling (Anderson Valley)
white,6.2,0.32,0.16,7.0,0.045,30.0,136.0,0.9949,3.18,0.47,9.6,6,Black Magnolia 2015 Pinot Noir (Willamette Valley)
white,7.0,0.27,0.36,20.7,0.045,45.0,170.0,1.001,3.0,0.45,8.8,6,Marco Zunino 2014 Rosé (Mendoza)
white,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6,Tangent 2014 Paragon Vineyard Pinot Gris (Edna Valley)
white,8.1,0.22,0.43,1.5,0.044,28.0,129.0,0.9938,3.22,0.45,11.0,6,Dão Sul 2010 Casa de Santar Terras do Dão White (Dão)
white,8.1,0.27,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12.0,5,Dürnberg 2011 L & T Grüner Veltliner (Niederösterreich)
white,8.6,0.23,0.4,4.2,0.035,17.0,109.0,0.9947,3.14,0.53,9.7,5,Swiftwater Cellars 2015 Proprietary White (Columbia Valley (WA))
white,7.9,0.18,0.37,1.2,0.04,16.0,75.0,0.992,3.18,0.63,10.8,5,Occidental Road Cellars 2007 Helen's Ridge Vineyard Zinfandel (Russian River Valley)
white,6.6,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7,Sparkman 2012 Yonder Cabernet Franc (Red Mountain)
white,8.3,0.42,0.62,19.25,0.04,41.0,172.0,1.0002,2.98,0.67,9.7,5,Château de Fieuzal 2008  Pessac-Léognan
white,6.6,0.17,0.38,1.5,0.032,28.0,112.0,0.9914,3.25,0.55,11.4,7,Domaine Fouassier 2010 Les Grands Groux  (Sancerre)
white,6.3,0.48,0.04,1.1,0.046,30.0,99.0,0.9928,3.24,0.36,9.6,6,Ex 2016 Sauvignon Blanc (Monterey)
white,,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,Amavi 2011 Cabernet Sauvignon (Walla Walla Valley (WA))
white,7.4,0.34,0.42,1.1,0.033,17.0,171.0,0.9917,3.12,0.53,11.3,6,Delbeck 1990 Brut  (Champagne)
white,6.5,0.31,0.14,7.5,0.044,34.0,133.0,0.9955,3.22,0.5,9.5,5,Château de la Ragotiere 2010 M des Frères Couillaud  (Muscadet Sèvre et Maine)
white,6.2,0.66,0.48,1.2,0.029,29.0,75.0,0.9892,3.33,0.39,12.8,8,Bernard et Christophe Richel 2013 Apremont Jacquère (Vin de Savoie)
white,6.4,0.31,0.38,2.9,0.038,19.0,102.0,0.9912,3.17,0.35,11.0,7,Bodega Volcanes de Chile 2009 Parinacota Carignan-Syrah Red (Maule Valley)
